0.5,2.5,15.0,18.0
1.0,3.8,22.0,18.0
1.5,5.2,28.0,18.5
2.0,7.1,35.0,18.5
2.5,8.5,40.0,19.0
3.0,10.2,48.0,19.0
3.5,12.8,55.0,19.0
4.0,14.5,60.0,19.0
4.5,11.3,45.0,19.0
5.0,8.7,38.0,18.5
5.5,6.2,30.0,18.5
6.0,4.8,25.0,18.0
6.5,3.5,20.0,18.0
7.0,5.1,28.0,18.5
7.5,7.8,35.0,18.5
8.0,10.5,45.0,19.0
8.5,13.2,52.0,19.0
9.0,15.8,58.0,19.0
9.5,18.5,65.0,19.5
10.0,20.2,70.0,19.5
10.5,22.8,75.0,19.5
11.0,25.5,80.0,19.5
11.5,28.2,85.0,20.0
12.0,30.5,90.0,20.0
12.5,28.8,82.0,20.0
13.0,25.2,75.0,19.5
13.5,22.5,68.0,19.5
14.0,20.8,62.0,19.5
14.5,23.5,70.0,19.5
15.0,26.8,78.0,20.0
15.5,29.5,85.0,20.0
16.0,32.2,92.0,20.0
16.5,35.5,98.0,20.0
17.0,38.2,105.0,20.0
17.5,40.8,110.0,20.5
18.0,42.5,115.0,20.5
18.5,38.2,100.0,20.0
19.0,35.5,95.0,20.0
19.5,40.2,108.0,20.5
20.0,45.8,120.0,20.5
